image,caption,token_len
"3237760601_5334f3f3b5.jpg,A",skier,1
"1052358063_eae6744153.jpg,Two",skateboarders .,1
"3340857141_85d97a7466.jpg,Two",dogs .,1
"2755314937_1e974bf2b5.jpg,broken",image,1
"3541915243_956c1aa8ef.jpg,Asian",spectators .,1
"2714703706_d21c5cb8df.jpg,dogs",playing,1
"3338590946_f25b76cbc7.jpg,A",wakeboarder .,1
"244760301_5809214866.jpg,People",walking,1
"3504479370_ff2d89a043.jpg,Police",gather .,1
"3360823754_90967276ec.jpg,Man",skateboarding,1
"2165461920_1a4144eb2b.jpg,dogs",racing,1
"3479245321_6a5bc470f8.jpg,Concentration",campsite .,1
"2267923837_ae88678497.jpg,Four",children .,1
"3125309108_1011486589.jpg,rugby",match,1
"3371266735_43150bce52.jpg,Men",skiing .,1
"3108732084_565b423162.jpg,a",snowboarder,1
"3154693053_cfcd05c226.jpg,A",basketball,1
"256085101_2c2617c5d0.jpg,Dog",yawns,1
"3664928753_7b0437fedf.jpg,Javelin",competition,1
"2862481071_86c65d46fa.jpg,Trucks",racing,1
