token,count
a,38288
in,18975
the,15298
on,10732
is,9345
and,8862
dog,7979
with,7760
man,6819
of,6722
white,3895
black,3711
are,3504
boy,3434
woman,3221
girl,3211
to,3176
wearing,3061
at,2905
water,2785
red,2684
brown,2487
young,2426
people,2423
his,2357
blue,2271
dogs,2078
running,2072
through,2031
playing,2008
shirt,1962
while,1957
an,1899
down,1842
standing,1786
ball,1783
grass,1622
little,1613
snow,1540
child,1473
jumping,1471
over,1415
person,1405
front,1386
sitting,1368
holding,1324
up,1299
field,1282
by,1249
green,1229
yellow,1211
small,1205
large,1192
her,1178
group,1172
walking,1165
into,1074
air,1062
beach,1045
men,1030
near,1022
children,1000
mouth,989
one,982
jumps,979
another,956
for,949
street,939
runs,925
its,924
from,920
two,915
riding,905
stands,869
as,865
bike,861
girls,804
outside,790
other,773
off,766
out,763
rock,758
next,749
play,747
looking,739
pink,738
orange,736
player,731
camera,698
their,693
pool,692
hat,682
jacket,678
around,648
boys,637
behind,631
women,612
background,595
toy,582
dirt,582
sits,577
dressed,570
soccer,570
has,562
wall,557
walks,552
mountain,545
some,538
along,527
plays,526
crowd,520
stand,519
looks,512
building,510
park,508
climbing,507
top,487
face,486
across,476
grassy,474
holds,471
stick,467
sand,466
ocean,463
rides,458
football,458
swimming,446
smiling,446
hill,445
carrying,434
doing,434
skateboard,432
each,430
car,428
tree,426
tennis,424
snowy,420
picture,417
bicycle,415
hair,414
together,413
jump,406
him,403
baby,403
s,403
road,398
it,398
area,398
that,396
tan,387
back,387
trick,385
swing,382
basketball,380
head,377
shorts,377
bench,375
sidewalk,375
race,373
covered,372
run,369
catch,368
game,368
sit,360
helmet,358
ground,357
hand,349
dress,348
something,346
fence,340
being,338
frisbee,337
lake,332
path,325
city,319
ramp,319
walk,319
wave,317
purple,312
long,309
side,306
slide,303
high,293
baseball,293
posing,291
track,291
skateboarder,288
kids,286
players,285
wooden,284
sunglasses,277
watches,276
boat,274
big,273
uniform,270
coat,269
dark,261
look,261
trees,260
them,260
