Id,LotFrontage,LotArea,YearBuilt,BedroomAbvGr,KitchenAbvGr,YrSold
1,70,1567,1998,2,1,2003
2,100,23549,1820,5,2,1990
3,105,12549,1996,3,1,2000
4,51,1769,2000,2,1,2005
5,82,3498,2004,1,1,2015
6,102,14659,1990,3,2,1993
7,118,4325,2024,2,1,
8,67,10256,1878,3,2,1900
9,84,15698,1996,3,2,2000
10,79,1698,2005,3,1,2006
11,48,14563,1994,2,2,1996
12,160,13789,2007,4,2,2009
13,113,12265,1991,5,1,
14,49,3574,2008,2,1,2008
15,67,2478,2021,2,1,2021
16,72,13598,2020,4,2,2024
17,56,2897,1895,2,1,
18,52,11569,1993,3,1,1995
19,109,17598,2017,5,2,2019
20,111,7895,2015,3,1,2017
