Id,LotFrontage,LotArea,YearBuilt,BedroomAbvGr,KitchenAbvGr,YrSold,SalePrice,PriceLabel
1000,70,11218,1992,3,1,2010,189000,1
252,66,16226,1998,4,1,2007,267000,1
70,32,4500,1998,2,1,2006,153500,0
132,134,19378,2005,4,1,2006,320000,1
301,59,10690,1920,3,1,2009,147000,0
1133,21,1953,1973,2,1,2006,83000,0
327,60,8967,1920,2,1,2007,67000,0
1020,70,9842,1962,2,2,2007,101800,0
500,74,10927,2005,3,1,2006,275000,1
666,79,12798,1997,4,1,2008,200000,1
919,73,7100,1957,2,1,2006,129900,0
496,60,3600,1910,3,1,2006,114504,0
339,56,8960,1927,2,1,2010,115000,0
964,118,35760,1995,4,1,2006,625000,1
165,80,8546,2003,2,1,2010,140000,0
29,60,7313,2005,2,1,2007,277500,1
517,90,10800,1974,4,1,2008,240000,1
194,65,8773,2004,3,1,2010,185500,1
1104,95,13450,2002,3,1,2006,200000,1
170,40,13673,1962,3,1,2007,143900,0
1059,50,9638,1919,4,1,2010,169000,0
174,72,8640,2009,3,1,2009,252678,1
519,80,10400,1972,4,1,2006,165150,0
969,80,16560,1932,4,1,2006,239000,1
702,82,9020,1966,3,1,2008,174900,0
492,97,13478,2008,3,1,2009,451950,1
74,122,11911,2005,3,1,2009,174000,0
981,68,8935,2002,3,1,2009,195000,1
588,70,5600,1930,3,2,2010,55000,0
235,60,7200,2006,2,1,2006,185000,1
215,120,19296,1962,3,1,2009,176000,0
947,75,12000,1941,3,1,2009,174500,0
133,110,13688,2003,3,1,2008,412500,1
1156,60,10410,1915,3,1,2006,105000,0
733,60,6204,1912,5,1,2006,118500,0
941,54,6342,1875,2,1,2010,94000,0
186,21,1869,1970,2,1,2008,106000,0
42,66,7742,1966,3,1,2007,127000,0
109,69,8973,1958,3,1,2006,150000,0
849,73,9300,1960,3,1,2010,167500,0
569,90,11248,2002,3,1,2007,285000,1
651,63,7875,1995,3,1,2007,176000,0
1001,152,12134,1988,4,1,2010,164000,0
1166,51,3635,2007,1,1,2009,175900,0
484,75,13500,1893,3,1,2008,325000,1
469,77,11198,2005,4,1,2008,325000,1
25,60,6324,1927,1,1,2008,68500,0
661,70,8400,1980,3,1,2010,171000,0
680,48,12137,1998,3,1,2010,224900,1
753,116,13501,2006,3,1,2007,255000,1
994,75,9750,2000,3,1,2009,213000,1
367,53,3922,2006,2,1,2007,172500,0
840,60,11664,1948,2,1,2007,119200,0
1053,75,9473,2002,3,1,2008,237000,1
384,85,10628,1970,2,1,2007,167000,0
455,75,9375,2003,4,1,2009,263000,1
265,75,9000,2006,3,1,2007,270000,1
761,50,9000,1949,1,1,2006,35311,0
980,89,12461,1994,2,1,2006,262000,1
445,74,9056,2004,3,1,2006,178000,1
396,50,5925,1937,2,1,2007,89471,0
742,70,8414,1963,3,1,2006,154500,0
177,65,8450,2004,3,1,2008,210000,1
19,75,9742,2002,3,1,2008,230000,1
949,57,8280,1950,2,1,2007,124000,0
815,75,10125,1977,4,2,2009,126000,0
596,60,10800,1890,3,1,2007,159500,0
62,74,10141,1998,3,1,2009,185000,1
273,32,10846,1993,1,1,2008,324000,1
1126,90,5400,1920,2,1,2009,105000,0
279,59,9042,1998,3,1,2008,192000,1
842,73,11883,1996,3,1,2009,203000,1
369,73,9855,1956,3,1,2009,127500,0
887,74,8556,2006,2,1,2007,194000,1
1015,86,14598,2007,4,1,2008,214000,1
860,86,11839,1990,4,1,2008,262280,1
721,80,9938,1993,3,1,2010,236000,1
826,60,9786,1922,3,1,2006,91000,0
548,72,10007,1959,3,1,2008,145500,0
880,80,9760,1964,4,1,2008,167900,0
900,60,8544,1950,2,2,2009,92900,0
457,50,6000,1957,3,1,2008,112500,0
394,105,13693,2006,3,1,2007,380000,1
676,78,10140,1974,3,1,2006,181000,1
912,79,8910,1959,3,1,2006,159500,0
965,76,9880,1977,3,1,2008,171000,0
376,63,9297,1976,4,2,2006,188000,1
413,70,7535,1958,2,1,2007,120000,0
75,40,3951,2009,2,1,2009,164500,0
1122,30,3180,2005,2,1,2006,144152,0
863,57,9245,1994,3,1,2008,145000,0
501,50,9000,1937,3,1,2007,141000,0
942,98,8731,1920,3,1,2007,144000,0
617,65,6768,1961,3,1,2008,142000,0
115,73,9066,1999,3,1,2008,230000,1
418,24,2308,1974,3,1,2009,147000,0
602,86,13286,2007,3,1,2009,320000,1
605,85,11475,1958,4,2,2009,110000,0
90,75,9375,2003,3,1,2008,250000,1
1149,51,6120,1920,4,1,2007,137500,0
499,24,1950,1980,3,1,2008,151000,0
876,85,13600,1900,5,2,2007,90000,0
927,84,10084,2005,3,1,2006,212900,1
999,85,10182,2006,3,1,2006,290000,1
12,91,10652,2006,3,1,2007,279500,1
397,98,16033,2004,3,1,2006,326000,1
755,149,12589,2005,3,1,2009,174000,0
556,106,11194,2000,3,1,2006,230500,1
43,52,6240,1934,3,1,2006,114500,0
168,50,3500,1947,2,1,2009,110000,0
417,100,15602,1959,1,1,2010,289000,1
577,51,6120,1936,3,1,2009,141500,0
268,99,12099,2004,4,1,2007,354000,1
808,60,11414,1910,3,1,2009,167500,0
427,71,9187,1983,3,1,2007,134000,0
691,80,11900,1957,3,1,2008,166000,0
545,60,10320,1906,3,1,2008,135000,0
1123,68,9179,1999,3,1,2008,193000,1
675,90,8100,1898,2,3,2009,106000,0
690,24,2544,2005,2,1,2006,147400,0
1055,67,9808,2002,3,1,2009,227000,1
1177,60,10800,1927,4,1,2007,64500,0
1033,60,9600,1917,3,1,2008,129500,0
1035,93,11160,1968,3,1,2010,244000,1
258,90,12378,2003,3,1,2006,360000,1
336,85,10800,2007,3,1,2008,339750,1
16,70,7560,1958,3,1,2009,139000,0
902,60,8400,1925,4,1,2008,136500,0
325,60,7200,1972,2,1,2009,123000,0
608,73,9590,2003,3,1,2007,187500,1
1054,60,7500,1920,2,1,2010,68400,0
791,82,7136,1946,4,2,2007,145000,0
223,71,6900,1940,2,1,2008,120500,0
180,73,8990,2006,2,1,2006,204900,1
